org,Sum_tenants_1,Sum_tenants_2,Sum_tenants_3,Sum_tenants_4,Sum_tenants_5,Sum_tenants_6,Sum_tenants_7,Sum_tenants_8,Sum_tenants_9,Sum_tenants_10,Sum_tenants_11,Sum_tenants_12
ACCE,,,1868,1255,1052,15924,834,4048,2650,764,3123,
Casa Familiar,84,261,80,279,628,634,1177,1034,504,536,329,207
Chicano Federation,65,311,217,106,95,64,78,77,66,137,356,315
Logan Heights CDC,,125,,,,,,,,,,
Refugee Coalition - Haitian Bridge Alliance,,,,,,50,,,,,,
Refugee Coalition - Horn of Africa,,,77,,1732,2513,2316,2042,1457,1470,1168,2033
Refugee Coalition - Karen organization of San Diego,,,,,30,155,100,90,100,124,,
Refugee Coalition - Somali Bantu Community of San Diego,,,,,25,59,,85,,,,
Refugee Coalition - South Sudanese Community of San Diego,,,,,,,,,,93,,
Refugee Coalition - Union of Pan Asian Communities,,,,751,,50,556,,,,,
Refugee Coalition - United Women of East Africa SupportTeam,,,126,332,369,337,,446,,,912,
SDRCC,,227,160,1924,,430,,,,,,
